Timestamp,What name do you go by in the discord?,What is your discord @? (ex: @masterdaav),What is the Highest league you have reached?,Bracket,Ace,Agent,Apex,Atomic,Bandit,Bison,Centaur,Chinese Van,Comet,Conqueror,Coupe,Cyber,Electron,Elixeer,Duster,Expedition,Fang,Firearrow,Fortress,Flower,Fury,Ghost,Glamour,Hammer,Hopper,Hornet,Horizon,Kaiju,Kobra,Koi,Krystal Ship,Leap,Mamba,Mantis,Maverick,Memphis,Merlin,Millenium,Minni,Monster Car,Neon,Nightown,Polluter,Predator,Project,Roamer,Rodeo,Ronin,Safari,Satin,Taxi,Thor,Timber,Time Machine,Tofu,Tow Truck,Wild West,Wingman,Protos,Quantum,Jackpot,Startup,Scorpion,Samurai,Spectre
8/27/2025 22:18:55,Chungus,@paneerchungus,35,1,SSS,S,Don't have/cannot upgrade,SS,SS,S,S,Don't have/cannot upgrade,S,SSS,SS,SS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SS,S,SS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SS,Don't have/cannot upgrade,SS,SSS,SSS,Don't have/cannot upgrade,S,SSS,SS,SS,S,SSS,Don't have/cannot upgrade,SSS,S,SS,S,SS,SS,S,Don't have/cannot upgrade,SS,S,SSS,Don't have/cannot upgrade,SS,SSS,Don't have/cannot upgrade,SSS,SS,SS,SS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,S,SSS,SS
8/28/2025 10:47:15,JonReremy,@jonreremy,35,1,SSS,SS,SS,SS,SS,SS,S,SS,SS,SSS,SS,SS,SS,SS,Don't have/cannot upgrade,SSS,SSS,SS,SS,SS,SSS,SSS,SSS,SSS,SS,SS,SS,SSS,SSS,A,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,SSS,S,SS,SS,SS,SS,S,SS,SS,SSS,SS,S,SS,SSS,SS,SSS,SS,SS,SSS,SSS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,S,S,SSS,SSS
8/28/2025 13:26:15,Jango,@mojango,35,1,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SS,S,SSS,SSS,Don't have/cannot upgrade,SSS,SS,Don't have/cannot upgrade,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,S,Don't have/cannot upgrade,SS,SSS,S,SSS,Don't have/cannot upgrade,S,SSS,Don't have/cannot upgrade,SSS,SSS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,S,Don't have/cannot upgrade,SSS,S,SSS,SS,SSS,Don't have/cannot upgrade,SS,SS,SS,SSS,SSS,Don't have/cannot upgrade,SS,SS,SS,Don't have/cannot upgrade,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,S,S,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SSS
8/28/2025 17:31:00,Mo,@Moheganvdm,35,1,S,SSS,SS,SS,SS,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,S,SSS,S,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,S,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade
8/29/2025 10:57:34,Tattoo,@TaTToo,35,1,S,SS,Don't have/cannot upgrade,SS,SSS,SS,S,SS,SS,SS,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SS,SS,SS,A,SS,SSS,SS,SSS,S,SS,SS,SS,SS,SS,SS,SS,Don't have/cannot upgrade,SS,SS,SS,SS,SS,SS,SS,SS,SS,SSS,Don't have/cannot upgrade,SS,SS,SS,SS,Don't have/cannot upgrade,SS,SSS,Don't have/cannot upgrade,SSS,SS,SS,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SS
09/01/2025 01:23,Jane,@cryingdiamvnds,35,1,SSS,SSS,S,SS,SSS,S,Don't have/cannot upgrade,S,SSS,SSS,S,SS,SS,SSS,SSS,SSS,SSS,S,SS,SS,SSS,SSS,SSS,S,S,SSS,SS,SSS,SSS,S,SSS,SS,SS,SSS,SS,SSS,SSS,SS,SSS,S,S,S,S,SSS,SSS,S,SS,SS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
09/02/2025 18:29,Zest,@.zxst,35,1,Don't have/cannot upgrade,S,S,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,S,S,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SS,SSS,SSS,SS,SS,SSS,SSS,S,S,S,SSS,SSS,SS,SSS,S,S,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,SSS,SS,SSS,S,SS,S,S,S,S,Don't have/cannot upgrade,SSS,SS,SS,SS,SS,SSS,S,SSS,SS,SS,S,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade
09/02/2025 00:53,Kalaginho,@ kalaginho,35,1,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SS,SSS,SSS,SS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,S,SS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SSS,SS
8/25/2025 18:48:58,Daav,@masterdaav,35,1,SSS,SSS,S,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,S,SSS,S,SS,SS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade
8/27/2025 17:59:57,Zenith,@zacll,35,2,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,S,SSS,SSS,SSS,SSS
8/27/2025 18:09:17,Yutaaah,@yutaaah._,35,2,SS,SSS,S,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SS,S,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,S,S,Don't have/cannot upgrade,SSS,SSS,S
